# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.020036315917968750e+02 0.000000000000000000e+00 8.904729783535003662e-02 4.020036315917968750e+02 0.000000000000000000e+00 8.904729783535003662e-02
1.000000000000000000e+03 6.193695589900016785e-03 8.613830004833289422e-08 3.226250919396989048e-05 6.193695589900016785e-03 8.613830004833289422e-08 3.226250919396989048e-05
2.000000000000000000e+03 1.258298754692077637e-03 2.362697593127904838e-09 1.451946673114434816e-06 1.258298754692077637e-03 2.362697593127904838e-09 1.451946673114434816e-06
3.000000000000000000e+03 2.378972421865910292e-04 3.642086632282826031e-11 7.890581343872327125e-08 2.378972421865910292e-04 3.642086632282826031e-11 7.890581343872327125e-08
4.000000000000000000e+03 1.158228551503270864e-04 2.202718007993098581e-08 1.242155462932714727e-07 1.158228551503270864e-04 2.202718007993098581e-08 1.242155462932714727e-07
5.000000000000000000e+03 9.507821960141882300e-05 1.208564137655798731e-09 5.935751890007168186e-10 9.507821960141882300e-05 1.208564137655798731e-09 5.935751890007168186e-10
6.000000000000000000e+03 8.218440052587538958e-05 2.931435094666312580e-10 3.429456718606616050e-11 8.218440052587538958e-05 2.931435094666312580e-10 3.429456718606616050e-11
7.000000000000000000e+03 7.672889158129692078e-03 2.029727620538324118e-04 7.411415572278201580e-04 7.672889158129692078e-03 2.029727620538324118e-04 7.411415572278201580e-04
8.000000000000000000e+03 7.765806367387995124e-05 4.521618279795802664e-07 1.673399992796475999e-06 7.765806367387995124e-05 4.521618279795802664e-07 1.673399992796475999e-06
9.000000000000000000e+03 5.864364720764569938e-05 2.248935828674802906e-07 1.053511141435592435e-06 5.864364720764569938e-05 2.248935828674802906e-07 1.053511141435592435e-06
1.000000000000000000e+04 6.350880721583962440e-05 6.696375720594005543e-08 3.796201326622394845e-07 6.350880721583962440e-05 6.696375720594005543e-08 3.796201326622394845e-07
1.000000000000000000e+04 6.350880721583962440e-05 6.696375720594005543e-08 3.796201326622394845e-07 6.350880721583962440e-05 6.696375720594005543e-08 3.796201326622394845e-07
1.001000000000000000e+04 4.429900582181289792e-05 2.351099315234250753e-10 7.990517136846619906e-10 4.429900582181289792e-05 2.351099315234250753e-10 7.990517136846619906e-10
